row_index,clip_id,group_idx,clip_name,target,prediction_constrained_yes_no,constrained_correct,unrestricted_token_id,yes_logit,no_logit,prompt_token_length
0,0jJj5Mme,1,IM_15,yes,yes,True,422,2.009185791015625,1.6191532611846924,
1,nsbnKlSp,2,IM_7,yes,yes,True,68315,-0.7419849634170532,-2.7986764907836914,
2,AmNbkU2m,2,IM_4,yes,no,False,434,-1.1315425634384155,2.7092673778533936,
3,reYzH7wg,1,IM_7,yes,yes,True,525,0.09864535927772522,-0.026843752712011337,
4,OziK3ff0,1,IM_10,yes,no,False,220,-3.231041431427002,-1.2815865278244019,
5,xx6GTsEM,2,IM_1,yes,yes,True,4935,3.7374587059020996,3.559790849685669,
6,xx6GTsEM,2,IM_9,yes,no,False,2432,-0.7274477481842041,1.8506759405136108,
7,UBdITpNb,1,IM_7,yes,no,False,9316,-6.006678581237793,2.029963254928589,
8,bZhxz4I5,2,IM_3,yes,no,False,432,-0.22369854152202606,1.7931816577911377,
9,bBW7eQ6s,1,IM_2,yes,no,False,220,-4.57984733581543,-3.8344669342041016,
10,bevos1dM,2,IM_8,yes,yes,True,2432,0.6312159299850464,-0.0272138100117445,
11,hK46TwNp,1,IM_12,yes,yes,True,2432,-1.0450904369354248,-1.2275909185409546,
12,ABcIbvu8,1,IM_4,yes,yes,True,2432,-0.10774239897727966,-1.7183194160461426,
13,63fde7Re,1,IM_2,yes,yes,True,393,-0.8184637427330017,-3.3426358699798584,
14,G6wyC3XE,1,IM_7,yes,no,False,9374,-4.810105800628662,-1.2810051441192627,
15,GEF9XGeE,1,IM_4,yes,yes,True,8042,-1.4335752725601196,-3.5938892364501953,
16,fN94DUin,2,IM_11,yes,no,False,14152,-6.690999984741211,-1.4239829778671265,
17,63fde7Re,1,IM_6,yes,no,False,2432,-2.692509889602661,-0.043366897851228714,
18,4rxwHJn7,2,IM_14,yes,no,False,14152,-5.908817768096924,-3.6591410636901855,
19,Yo4Xirtq,1,IM_6,yes,no,False,220,-2.0732760429382324,0.8471893668174744,
20,reYzH7wg,1,IM_10,yes,yes,True,760,-1.1459397077560425,-1.2099685668945312,
21,0jJj5Mme,2,IM_16,yes,no,False,12588,-5.712116718292236,-4.568812847137451,
22,l0uNkr78,2,IM_4,yes,no,False,8510,-3.6304218769073486,-1.212416172027588,
23,ChTFpiaS,1,IM_1,yes,no,False,902,-0.4927557110786438,7.917723655700684,
24,0jJj5Mme,1,IM_10,yes,no,False,311,-3.7396278381347656,-0.44366684556007385,
25,UcZVYDFH,2,IM_5,yes,yes,True,506,-1.8265697956085205,-5.875932693481445,
26,Yo4Xirtq,2,IM_5,yes,yes,True,1260,0.4787607789039612,0.20771127939224243,
27,6ZIJp6HI,2,IM_2,yes,no,False,34,1.2066341638565063,3.2991409301757812,
28,OziK3ff0,1,IM_1,yes,yes,True,2432,0.7114588022232056,-0.1153159886598587,
29,pU7DyBbB,1,IM_3,yes,no,False,1967,1.3051364421844482,5.45783805847168,
30,xx6GTsEM,2,IM_13,yes,no,False,902,0.3578525483608246,6.4182634353637695,
31,nsbnKlSp,1,IM_2,yes,yes,True,20761,0.11591529101133347,-0.3360573947429657,
32,ChTFpiaS,2,IM_11,yes,no,False,37,0.4826436936855316,1.5152840614318848,
33,bBW7eQ6s,1,IM_4,yes,no,False,1555,-1.4545756578445435,0.3748321533203125,
34,r9gYBR53,1,IM_2,yes,no,False,77959,0.13707998394966125,1.1441128253936768,
35,ABcIbvu8,1,IM_1,yes,yes,True,393,2.5620076656341553,0.4587908089160919,
36,IwW928Oa,2,IM_15,yes,no,False,9374,-1.7858489751815796,4.9674482345581055,
37,Ov5idmCk,1,IM_5,yes,no,False,46,-3.250474452972412,-1.955079436302185,
38,KIMzryr9,2,IM_8,yes,yes,True,4935,-1.5688445568084717,-1.981855869293213,
39,4rxwHJn7,2,IM_9,yes,yes,True,910,-0.21089087426662445,-1.051218032836914,
40,ABcIbvu8,2,IM_9,yes,no,False,2432,-2.6895196437835693,-1.3379615545272827,
41,0jJj5Mme,1,IM_9,yes,no,False,730,-2.5807883739471436,4.737408638000488,
42,ABcIbvu8,2,IM_7,yes,no,False,311,-0.05080631375312805,0.6355398297309875,
43,xx6GTsEM,1,IM_6,yes,no,False,12579,-0.24021458625793457,2.7392849922180176,
44,r9gYBR53,1,IM_10,yes,no,False,902,0.8049207329750061,7.020204544067383,
45,lCaoR3AE,2,IM_13,yes,no,False,271,-2.477883815765381,1.657006859779358,
46,86u5kz2f,2,IM_11,yes,no,False,18217,-2.507020950317383,1.5277254581451416,
47,xx6GTsEM,1,IM_2,yes,no,False,2432,0.30472373962402344,5.568253993988037,
48,0jJj5Mme,1,IM_1,yes,no,False,2432,-1.553043246269226,5.143003940582275,
49,G6wyC3XE,1,IM_5,yes,yes,True,2432,-1.3171266317367554,-2.768864631652832,
50,Q3ZH0ngC,2,IM_6,no,yes,False,619,1.970594048500061,1.7694810628890991,
51,E5X6KOII,2,IM_4,no,yes,False,2432,0.803364634513855,0.2359306514263153,
52,ULTDmEW6,2,IM_6,no,no,True,17924,0.10310404747724533,3.0714895725250244,
53,G6wyC3XE,2,IM_1,no,yes,False,4935,-1.6209204196929932,-3.6407387256622314,
54,bks0kqIh,2,IM_1,no,no,True,2876,-2.4084997177124023,1.2798718214035034,
55,tE2Jn2J8,2,IM_1,no,no,True,902,-1.0732288360595703,4.1444010734558105,
56,UcZVYDFH,1,IM_9,no,no,True,2432,0.14152435958385468,1.538161277770996,
57,6LXKpLWN,2,IM_1,no,no,True,16448,0.31770360469818115,4.348806858062744,
58,8rg3jFcJ,2,IM_3,no,no,True,86323,-0.7595168948173523,4.071508407592773,
59,IF9NUtVr,1,IM_4,no,no,True,220,-1.2865581512451172,4.697691440582275,
60,l0uNkr78,2,IM_10,no,no,True,2432,-2.330082654953003,-0.6611751914024353,
61,0rkvoaKm,2,IM_16,no,no,True,902,-3.293673515319824,2.635357141494751,
62,06FNvY2s,2,IM_6,no,no,True,1661,-1.4839532375335693,1.3331141471862793,
63,xpER1kZQ,1,IM_5,no,no,True,1736,-2.5892698764801025,0.3537048399448395,
64,6w99xiq5,2,IM_3,no,no,True,1200,-0.04952630400657654,1.5679951906204224,
65,6w99xiq5,1,IM_2,no,yes,False,1526,-1.268837571144104,-4.113658428192139,
66,nsbnKlSp,2,IM_3,no,no,True,14152,-3.9077093601226807,-1.5239946842193604,
67,p2XBlEqT,2,IM_9,no,yes,False,393,-0.7847111821174622,-1.866392731666565,
68,Q3ZH0ngC,2,IM_7,no,no,True,2432,-2.964127540588379,6.859491348266602,
69,4rxwHJn7,1,IM_4,no,yes,False,3745,-2.144723892211914,-2.5710983276367188,
70,pOf6Wnwt,2,IM_10,no,no,True,498,0.05810471624135971,0.1131511777639389,
71,vXz1jGnl,2,IM_3,no,yes,False,220,-1.4788748025894165,-2.259202480316162,
72,xlO2e2Ra,2,IM_6,no,no,True,74398,-1.246187448501587,-0.29358917474746704,
73,06FNvY2s,2,IM_1,no,no,True,3041,-1.1293227672576904,0.492889940738678,
74,r9gYBR53,2,IM_4,no,no,True,902,0.6339781284332275,4.743153095245361,
75,xx6GTsEM,1,IM_1,no,yes,False,2432,-0.5842891931533813,-2.8954334259033203,
76,pl6mcTdq,1,IM_2,no,no,True,11756,-3.434513568878174,3.7783846855163574,
77,OtQpc975,1,IM_3,no,yes,False,37533,0.08685903251171112,-0.9687197804450989,
78,ChTFpiaS,2,IM_7,no,no,True,14152,4.2035231590271,7.011589050292969,
79,x2i73QnS,2,IM_5,no,no,True,2432,-2.5427794456481934,-1.0192161798477173,
80,UcZVYDFH,1,IM_15,no,no,True,1260,-2.9856297969818115,-0.019468411803245544,
81,UBdITpNb,2,IM_6,no,no,True,1674,-7.353522300720215,1.912571907043457,
82,G6wyC3XE,2,IM_4,no,no,True,2432,-2.7539756298065186,0.11387158185243607,
83,ABcIbvu8,2,IM_1,no,yes,False,2055,-1.337095022201538,-1.4913978576660156,
84,x2i73QnS,2,IM_4,no,no,True,1124,-2.165837049484253,1.1057828664779663,
85,vXz1jGnl,2,IM_2,no,no,True,451,0.25949445366859436,0.9431450366973877,
86,OtQpc975,2,IM_9,no,yes,False,2432,-1.4207353591918945,-1.9810501337051392,
87,OtQpc975,1,IM_6,no,yes,False,6010,-1.3871402740478516,-3.8635995388031006,
88,8S0QVm38,1,IM_2,no,no,True,82,-0.26462432742118835,2.086426258087158,
89,OtQpc975,1,IM_2,no,yes,False,1736,-0.2675105631351471,-0.35223302245140076,
90,4rxwHJn7,2,IM_1,no,no,True,678,-0.1661093682050705,2.386760950088501,
91,4rxwHJn7,2,IM_2,no,no,True,1597,-1.2930102348327637,0.7544193267822266,
92,G6wyC3XE,1,IM_3,no,yes,False,2432,-0.8598217964172363,-3.1677286624908447,
93,8S0QVm38,2,IM_2,no,no,True,422,-0.43634486198425293,-0.32591676712036133,
94,UBdITpNb,2,IM_5,no,yes,False,2432,0.36325234174728394,-0.28022074699401855,
95,Yo4Xirtq,2,IM_3,no,yes,False,1519,3.3752989768981934,2.350719451904297,
96,rs1thcel,1,IM_7,no,no,True,3976,-1.750317931175232,1.3439537286758423,
97,OW4kbPoI,1,IM_3,no,no,True,350,0.6815749406814575,7.310538291931152,
98,G6wyC3XE,2,IM_5,no,no,True,9071,-0.533500611782074,5.22252893447876,
99,8S0QVm38,1,IM_6,no,yes,False,6176,1.7491164207458496,0.5292304754257202,
100,reYzH7wg,1,IM_2,no,no,True,4935,-1.708592414855957,-1.612889289855957,
101,OW4kbPoI,2,IM_3,no,yes,False,467,-0.23571354150772095,-2.4865918159484863,
102,bZhxz4I5,1,IM_3,no,no,True,77959,-0.09050513058900833,4.371267318725586,
103,G6wyC3XE,2,NIM_2,no,yes,False,12579,-1.1993517875671387,-1.836382508277893,
104,0jJj5Mme,2,NIM_9,no,no,True,647,1.0775408744812012,1.629908800125122,
105,W0KvTtjG,1,NIM_7,no,no,True,2432,-2.622718334197998,1.8929827213287354,
106,xpER1kZQ,2,NIM_10,no,no,True,4935,-0.5402699112892151,0.9585274457931519,
107,EPk1kLq4,2,NIM_1,no,yes,False,14152,1.9087941646575928,0.5190500617027283,
108,rs1thcel,2,NIM_4,no,no,True,8964,-2.549450635910034,-2.154618740081787,
109,vVcWSKae,2,NIM_4,no,no,True,678,-0.5546273589134216,1.9437644481658936,
110,KMdvNjmo,1,NIM_5,no,yes,False,2160,-0.49596935510635376,-2.567967414855957,
111,OtQpc975,1,NIM_7,no,no,True,773,-0.45648181438446045,9.00751781463623,
112,KMdvNjmo,1,NIM_6,no,no,True,902,1.4996216297149658,3.3813905715942383,
113,6uUbMpl6,2,NIM_2,no,yes,False,393,3.7864432334899902,-0.48262929916381836,
114,OtQpc975,1,NIM_6,no,no,True,14152,-0.4331827759742737,0.5319576263427734,
115,tE2Jn2J8,2,NIM_14,no,no,True,678,-0.14252382516860962,4.539865493774414,
116,ULTDmEW6,2,NIM_1,no,no,True,2160,-4.423243522644043,0.6989813446998596,
117,pOf6Wnwt,2,NIM_13,no,yes,False,9071,1.5117053985595703,-1.7362710237503052,
118,Yo4Xirtq,2,NIM_9,no,no,True,902,1.5377916097640991,12.093961715698242,
119,06FNvY2s,2,NIM_8,no,no,True,393,-2.250302791595459,3.5889179706573486,
120,pU7DyBbB,2,NIM_9,no,no,True,2432,-1.3468303680419922,0.37178152799606323,
