clip_id,group_idx,clip_name,event_type,label,similarity,local_text,global_text,prompt,image_paths,answer,cf_mode,cf_prompt,cf_image_paths,cf_answer,cf_prompt_state,cf_prompt_changes
0jJj5Mme,1,IM_15,GOAL,important,0.956679,"Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff.",and Atalanta they've missed two of the last three penalties for Duvam Zapata to take this one Duvam Zapata rolls it in Atalanta are clear and Duvam Zapata has his first goal which returning from that near three month layoff through injury,"You are watching a football match. Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/0jJj5Mme/im/1/IM_15.png,yes,vision_only,"You are watching a football match. Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/0jJj5Mme/im/1/IM_15.png,no,vision_only,
nsbnKlSp,2,IM_7,GOAL,important,0.982138,"He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko.",He'll be on imminently. Lipped in by Zalanolu. Terrific header. Bakayoko's first goal for Milan. comes in the derby. And gives them hope.,"You are watching a football match. He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/nsbnKlSp/im/2/IM_7.png,yes,vision_only,"You are watching a football match. He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/nsbnKlSp/im/2/IM_7.png,no,vision_only,
AmNbkU2m,2,IM_4,GOAL,important,0.880397,"Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football.",Gundogan De Bruyne finds a clever little after ball lovely ball Foden Mahrez this is really good Jesus 2-0 what a move that was by Manchester City absolutely gorgeous football,"You are watching a football match. Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/AmNbkU2m/im/2/IM_4.png,yes,vision_only,"You are watching a football match. Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/AmNbkU2m/im/2/IM_4.png,no,vision_only,
reYzH7wg,1,IM_7,GOAL,important,0.238571,Short pass.,Murillo. Murillo. Murillo. Murillo. Here's a chance for John. Mario. Parried by Szczesny. Murillo. 1-0 on Clemere Moscow. Approaching the half hour.,You are watching a football match. Short pass. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/reYzH7wg/im/1/IM_7.png,yes,vision_only,You are watching a football match. Short pass. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/reYzH7wg/im/1/IM_7.png,no,vision_only,
OziK3ff0,1,IM_10,GOAL,important,0.918909,"In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal.","more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope.","You are watching a football match. In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/OziK3ff0/im/1/IM_10.png,yes,vision_only,"You are watching a football match. In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/OziK3ff0/im/1/IM_10.png,no,vision_only,
xx6GTsEM,2,IM_1,GOAL,important,0.744718,"Oh, that's a very, very weak ball from Hataboa. The play breaks down and Elisverona go on the search of a counter again. Zakania has men inside there. That is a wonderful ball. Blazovic can square it. Should be a tap in. It is. It's a brilliant team move. Di Carbone has his second of the game. And Elisverona are back in front.",oh that's a very very weak ball from hataboa the play breaks down and el s verona go on the search of a counter again zaccani has men inside there that is a wonderful ball lazovic can square it should be a tap in it is it's a brilliant team move di carbonate has a second of the game and el s verona are back in front,"You are watching a football match. Oh, that's a very, very weak ball from Hataboa. The play breaks down and Elisverona go on the search of a counter again. Zakania has men inside there. That is a wonderful ball. Blazovic can square it. Should be a tap in. It is. It's a brilliant team move. Di Carbone has his second of the game. And Elisverona are back in front. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/xx6GTsEM/im/2/IM_1.png,yes,vision_only,"You are watching a football match. Oh, that's a very, very weak ball from Hataboa. The play breaks down and Elisverona go on the search of a counter again. Zakania has men inside there. That is a wonderful ball. Blazovic can square it. Should be a tap in. It is. It's a brilliant team move. Di Carbone has his second of the game. And Elisverona are back in front. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/xx6GTsEM/im/2/IM_1.png,no,vision_only,
xx6GTsEM,2,IM_9,GOAL,important,0.898919,"Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play.",scored his last three including two against udonese on this ground and morial to bring atalanta level and we are all square we expected goals in this tie we've got four of them and there's still 25 minutes to play,"You are watching a football match. Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/xx6GTsEM/im/2/IM_9.png,yes,vision_only,"You are watching a football match. Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/xx6GTsEM/im/2/IM_9.png,no,vision_only,
UBdITpNb,1,IM_7,GOAL,important,0.998931,"Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now.",Genk out of nothing could so easily there have been back on level terms. Genk's first corner. They are back on level terms now.,"You are watching a football match. Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/UBdITpNb/im/1/IM_7.png,yes,vision_only,"You are watching a football match. Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/UBdITpNb/im/1/IM_7.png,no,vision_only,
bZhxz4I5,2,IM_3,GOAL,important,0.806091,It's a fine goal. Robin Gosens started it and he finished it.,Auf Gosen's with a good ball in to Ily Check It's a fine goal. Robin Gosens started it and he finished it.,You are watching a football match. It's a fine goal. Robin Gosens started it and he finished it. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/bZhxz4I5/im/2/IM_3.png,yes,vision_only,You are watching a football match. It's a fine goal. Robin Gosens started it and he finished it. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/bZhxz4I5/im/2/IM_3.png,no,vision_only,
bBW7eQ6s,1,IM_2,GOAL,important,0.958105,"They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo.","They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan. Lovely layoff. Oh, and it's a goal, and it's put away by Berradi for Sassuolo.","You are watching a football match. They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/bBW7eQ6s/im/1/IM_2.png,yes,vision_only,"You are watching a football match. They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p1/bBW7eQ6s/im/1/IM_2.png,no,vision_only,
