clip_id,group_idx,clip_name,event_type,label,similarity,local_text,global_text,prompt,image_paths,answer,cf_mode,cf_prompt,cf_image_paths,cf_answer,cf_prompt_state,cf_prompt_changes
0jJj5Mme,1,IM_15,GOAL,important,0.956679,"Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff.",and Atalanta they've missed two of the last three penalties for Duvam Zapata to take this one Duvam Zapata rolls it in Atalanta are clear and Duvam Zapata has his first goal which returning from that near three month layoff through injury,"You are watching a football match. Atalanta, they've missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls it in. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month layoff. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/0jJj5Mme/im/1/IM_15.png,goal,both,"You are watching a football match. Atalanta, cheapdone missed two of the last three penalties for Duvam Zapata to take this one. Duvam Zapata rolls while whether. Atalanta are clear and Duvam Zapata has his first goal which is returning from that near three-month sunning. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/0jJj5Mme/im/1/IM_15.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_1[dataset_sample:pos_bucket:OTHER:length_1]:they->cheap; sentence_3[dataset_sample:pos_bucket:NOUN:length_2]:layoff->sunning; sentence_2[dataset_sample:pos_bucket:OTHER:length_1]:in->whether; sentence_1[dataset_sample:pos_bucket:VERB:length_1]:'ve->done; sentence_2[dataset_sample:pos_bucket:OTHER:length_1]:it->while
nsbnKlSp,2,IM_7,GOAL,important,0.982138,"He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko.",He'll be on imminently. Lipped in by Zalanolu. Terrific header. Bakayoko's first goal for Milan. comes in the derby. And gives them hope.,"You are watching a football match. He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/nsbnKlSp/im/2/IM_7.png,goal,both,"You are watching a football match. He'll be my imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby plus responds them hope! What a great header this is our Bakayoko. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/nsbnKlSp/im/2/IM_7.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_3[dataset_sample:pos_bucket:OTHER:length_1]:and->plus; sentence_1[dataset_sample:pos_bucket:OTHER:length_1]:on->my; sentence_4[dataset_sample:pos_bucket:OTHER:length_1]:from->our; sentence_3[dataset_sample:pos_bucket:VERB:length_2]:gives->responds
AmNbkU2m,2,IM_4,GOAL,important,0.880397,"Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football.",Gundogan De Bruyne finds a clever little after ball lovely ball Foden Mahrez this is really good Jesus 2-0 what a move that was by Manchester City absolutely gorgeous football,"You are watching a football match. Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/AmNbkU2m/im/2/IM_4.png,goal,both,"You are watching a football match. Gundogan. De Bruner finds and clever little apple. Foden, Mahrez, while is really good. Jesus, 2-0. What a athlete that was by Manchester City. Absolutely gorgeous football. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/AmNbkU2m/im/2/IM_4.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_5[dataset_sample:pos_bucket:NOUN:length_1]:move->athlete; sentence_2[dataset_sample:pos_bucket:OTHER:length_1]:a->and; sentence_3[dataset_sample:pos_bucket:OTHER:length_1]:this->while
reYzH7wg,1,IM_7,GOAL,important,0.238571,Short pass.,Murillo. Murillo. Murillo. Murillo. Here's a chance for John. Mario. Parried by Szczesny. Murillo. 1-0 on Clemere Moscow. Approaching the half hour.,You are watching a football match. Short pass. What type of football event is shown? Answer goal or corner.,reproducing_code/vlm-circuits-analysis/data/goal/composites/reYzH7wg/im/1/IM_7.png,goal,both,You are watching a football match. Short flash. What type of football event is shown? Answer goal or corner.,reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/reYzH7wg/im/1/IM_7.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_1[dataset_sample:pos_bucket:NOUN:length_1]:pass->flash
OziK3ff0,1,IM_10,GOAL,important,0.918909,"In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal.","more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope.","You are watching a football match. In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/OziK3ff0/im/1/IM_10.png,goal,both,"You are watching a football match. In a more of a cheeky way to claim now goal. In step, leaving Lazzari without a hope. He creating he wanted to score a goal. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/OziK3ff0/im/1/IM_10.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_3[dataset_sample:pos_bucket:VERB:length_1]:said->creating; sentence_1[dataset_sample:pos_bucket:OTHER:length_1]:the->now; sentence_2[dataset_sample:pos_bucket:PROPN:length_3]:Drakowski->Lazzari
xx6GTsEM,2,IM_1,GOAL,important,0.744718,"Oh, that's a very, very weak ball from Hataboa. The play breaks down and Elisverona go on the search of a counter again. Zakania has men inside there. That is a wonderful ball. Blazovic can square it. Should be a tap in. It is. It's a brilliant team move. Di Carbone has his second of the game. And Elisverona are back in front.",oh that's a very very weak ball from hataboa the play breaks down and el s verona go on the search of a counter again zaccani has men inside there that is a wonderful ball lazovic can square it should be a tap in it is it's a brilliant team move di carbonate has a second of the game and el s verona are back in front,"You are watching a football match. Oh, that's a very, very weak ball from Hataboa. The play breaks down and Elisverona go on the search of a counter again. Zakania has men inside there. That is a wonderful ball. Blazovic can square it. Should be a tap in. It is. It's a brilliant team move. Di Carbone has his second of the game. And Elisverona are back in front. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/xx6GTsEM/im/2/IM_1.png,goal,both,"You are watching a football match. Oh, er's a very, very weak ball from Hataboa. The breaking breaks down and Elisverona go on the search of a counter again. Zakania did men inside there. That is a wonderful ball. Blazovic can square it. Should be hi tap in. It blocking. It's a brilliant team move. Di Carbone has etc second of the game. ה Elisverona are back in front. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/xx6GTsEM/im/2/IM_1.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_6[dataset_sample:pos_bucket:OTHER:length_1]:a->hi; sentence_10[dataset_sample:pos_bucket:OTHER:length_1]:And->ה; sentence_7[dataset_sample:pos_bucket:VERB:length_1]:is->blocking; sentence_3[dataset_sample:pos_bucket:VERB:length_1]:has->did; sentence_9[dataset_sample:pos_bucket:OTHER:length_1]:his->etc; sentence_2[dataset_sample:pos_bucket:NOUN:length_1]:play->breaking; sentence_1[dataset_sample:pos_bucket:OTHER:length_1]:that->er
xx6GTsEM,2,IM_9,GOAL,important,0.898919,"Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play.",scored his last three including two against udonese on this ground and morial to bring atalanta level and we are all square we expected goals in this tie we've got four of them and there's still 25 minutes to play,"You are watching a football match. Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/xx6GTsEM/im/2/IM_9.png,goal,both,"You are watching a football match. Scored his last three, including two against Udinese. On this ground. Um Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've turn four everyone them. And therepeg still 25 deal to play. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/xx6GTsEM/im/2/IM_9.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_3[dataset_sample:pos_bucket:OTHER:length_1]:And->Um; sentence_8[dataset_sample:pos_bucket:OTHER:length_1]:of->everyone; sentence_9[dataset_sample:pos_bucket:NOUN:length_1]:minutes->deal; sentence_9[dataset_sample:pos_bucket:VERB:length_1]:'s->peg; sentence_8[dataset_sample:pos_bucket:VERB:length_1]:got->turn
UBdITpNb,1,IM_7,GOAL,important,0.998931,"Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now.",Genk out of nothing could so easily there have been back on level terms. Genk's first corner. They are back on level terms now.,"You are watching a football match. Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/UBdITpNb/im/1/IM_7.png,goal,both,"You are watching a football match. Genk out of nothing could so easily there fail been back on level terms. Genk's first corner, they are back onto level terms possibly. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/UBdITpNb/im/1/IM_7.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_2[dataset_sample:pos_bucket:OTHER:length_1]:on->onto; sentence_1[dataset_sample:pos_bucket:VERB:length_1]:have->fail; sentence_2[dataset_sample:pos_bucket:ADV:length_1]:now->possibly
bZhxz4I5,2,IM_3,GOAL,important,0.806091,It's a fine goal. Robin Gosens started it and he finished it.,Auf Gosen's with a good ball in to Ily Check It's a fine goal. Robin Gosens started it and he finished it.,You are watching a football match. It's a fine goal. Robin Gosens started it and he finished it. What type of football event is shown? Answer goal or corner.,reproducing_code/vlm-circuits-analysis/data/goal/composites/bZhxz4I5/im/2/IM_3.png,goal,both,You are watching a football match. Itreads a fine work. Robin Gosens started it and he finished it. What type of football event is shown? Answer goal or corner.,reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/bZhxz4I5/im/2/IM_3.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_1[dataset_sample:pos_bucket:VERB:length_1]:'s->reads; sentence_1[dataset_sample:pos_bucket:NOUN:length_1]:goal->work
bBW7eQ6s,1,IM_2,GOAL,important,0.958105,"They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo.","They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan. Lovely layoff. Oh, and it's a goal, and it's put away by Berradi for Sassuolo.","You are watching a football match. They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites/bBW7eQ6s/im/1/IM_2.png,goal,both,"You are watching a football match. They've got the craft and guile to find a way past this Atalanta back hair. Here's Bison Duncan, lovely layoff, near and it's a goal and it's put away by Maestro for Sassuolo. What type of football event is shown? Answer goal or corner.",reproducing_code/vlm-circuits-analysis/data/goal/composites_noisy_sigma0p12/bBW7eQ6s/im/1/IM_2.png,corner,coverage_10pct+dataset_sample+qwen_same_token_length+vision_noise+goal_vs_corner,sentence_3[dataset_sample:pos_bucket:OTHER:length_1]:oh->near; sentence_2[dataset_sample:pos_bucket:PROPN:length_2]:Alfred->Bison; sentence_1[dataset_sample:pos_bucket:NOUN:length_1]:line->hair; sentence_4[dataset_sample:pos_bucket:PROPN:length_2]:Berardi->Maestro
