clip_id,group_idx,clip_name,event_type,label,similarity,local_text,global_text,prompt,image_paths,answer,cf_mode,cf_prompt,cf_image_paths,cf_answer,cf_prompt_state,cf_prompt_changes
nsbnKlSp,2,IM_7,GOAL,important,0.982138,"He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko.",He'll be on imminently. Lipped in by Zalanolu. Terrific header. Bakayoko's first goal for Milan. comes in the derby. And gives them hope.,"You are watching a football match. He'll be on imminently. Lipped in by Zalanolu, terrific header! Bakayoko's first goal for Milan comes in the derby and gives them hope! What a great header this is from Bakayoko. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/nsbnKlSp/im/2/IM_7.png,yes,random_pair,"You are watching a football match. And it's played back to Mahrez by De Bruyne, booming it in, and it drops for Aguero, hoists it back into the middle. Oh, well, then Mahrez got hold of that. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/vXz1jGnl/im/2/IM_3.png,no,random_pair,paired_with:vXz1jGnl__2__IM_3
AmNbkU2m,2,IM_4,GOAL,important,0.880397,"Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football.",Gundogan De Bruyne finds a clever little after ball lovely ball Foden Mahrez this is really good Jesus 2-0 what a move that was by Manchester City absolutely gorgeous football,"You are watching a football match. Gundogan. De Bruner finds a clever little apple. Foden, Mahrez, this is really good. Jesus, 2-0. What a move that was by Manchester City. Absolutely gorgeous football. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/AmNbkU2m/im/2/IM_4.png,yes,random_pair,You are watching a football match. Pjanic with the cross. Emre Can thought about the overhead. Away by Moncini. That's Pettanya. That's Miss Q. Will Spall make the change now? That's the question. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/6uUbMpl6/nim/2/NIM_2.png,no,random_pair,paired_with:6uUbMpl6__2__NIM_2
reYzH7wg,1,IM_7,GOAL,important,0.238571,Short pass.,Murillo. Murillo. Murillo. Murillo. Here's a chance for John. Mario. Parried by Szczesny. Murillo. 1-0 on Clemere Moscow. Approaching the half hour.,You are watching a football match. Short pass. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/reYzH7wg/im/1/IM_7.png,yes,random_pair,You are watching a football match. CHIPALO Pcast—. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/G6wyC3XE/nim/2/NIM_2.png,no,random_pair,paired_with:G6wyC3XE__2__NIM_2
OziK3ff0,1,IM_10,GOAL,important,0.918909,"In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal.","more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope.","You are watching a football match. In a more of a cheeky way to claim the goal. In step, leaving Drakowski without a hope. He said he wanted to score a goal. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/OziK3ff0/im/1/IM_10.png,yes,random_pair,"You are watching a football match. This is Rafael Toloi. Kacilic, Gomez, Muriel, have a turn. Gomez can hit it! And it very nearly turned into an own goal from Robin Olsen. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/rs1thcel/im/1/IM_7.png,no,random_pair,paired_with:rs1thcel__1__IM_7
xx6GTsEM,2,IM_9,GOAL,important,0.898919,"Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play.",scored his last three including two against udonese on this ground and morial to bring atalanta level and we are all square we expected goals in this tie we've got four of them and there's still 25 minutes to play,"You are watching a football match. Scored his last three, including two against Udinese. On this ground. And Morial to bring Atalanta level. Does so. Paul Carman collected another lifeline for Atalanta. And we are all square. We expected goals in this tie. We've got four of them. And there's still 25 minutes to play. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/xx6GTsEM/im/2/IM_9.png,yes,random_pair,You are watching a football match. Van Dijk's arrived in the Napoli box. Milders out to take the corner. Too high for Van Dijk but it's not too high for Lovren! Take it and Lovren for Liverpool! It's his first goal in Europe since he scored the one to beat Borussia Dortmund all those years. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/pOf6Wnwt/im/2/IM_10.png,no,random_pair,paired_with:pOf6Wnwt__2__IM_10
UBdITpNb,1,IM_7,GOAL,important,0.998931,"Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now.",Genk out of nothing could so easily there have been back on level terms. Genk's first corner. They are back on level terms now.,"You are watching a football match. Genk out of nothing could so easily there have been back on level terms. Genk's first corner, they are back on level terms now. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/UBdITpNb/im/1/IM_7.png,yes,random_pair,You are watching a football match. Nicely played by him to Aleksandro. It's a waste though from a Juve perspective. It was a waste. He should be hitting the target. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/ObsVrY4o/nim/2/NIM_2.png,no,random_pair,paired_with:ObsVrY4o__2__NIM_2
bZhxz4I5,2,IM_3,GOAL,important,0.806091,It's a fine goal. Robin Gosens started it and he finished it.,Auf Gosen's with a good ball in to Ily Check It's a fine goal. Robin Gosens started it and he finished it.,You are watching a football match. It's a fine goal. Robin Gosens started it and he finished it. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/bZhxz4I5/im/2/IM_3.png,yes,random_pair,You are watching a football match. That was enough. Marcelino at the corner. On the head of Palacio. Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/xlO2e2Ra/im/2/IM_6.png,no,random_pair,paired_with:xlO2e2Ra__2__IM_6
bBW7eQ6s,1,IM_2,GOAL,important,0.958105,"They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo.","They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan. Lovely layoff. Oh, and it's a goal, and it's put away by Berradi for Sassuolo.","You are watching a football match. They've got the craft and guile to find a way past this Atalanta back line. Here's Alfred Duncan, lovely layoff, oh and it's a goal and it's put away by Berardi for Sassuolo. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/bBW7eQ6s/im/1/IM_2.png,yes,random_pair,"You are watching a football match. Callejon with a corner again. It's a good one, Koulibaly! Oh, that's a good save this time by Olsen. He may not always be that pretty, but he's kept his side in it. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/06FNvY2s/im/2/IM_6.png,no,random_pair,paired_with:06FNvY2s__2__IM_6
bevos1dM,2,IM_8,GOAL,important,0.885495,"Kometic puts out Hudson-Odoi. Nicely weighted ball to Willian. And it's Christian Pulisic into the danger area, it's in! Well, that's for the quota might have got the final...","Kovacic picks out Hudson-Odoi. Nicely weighted ball to Willian, and it's Christian Toulisic into the danger area, it's in!","You are watching a football match. Kometic puts out Hudson-Odoi. Nicely weighted ball to Willian. And it's Christian Pulisic into the danger area, it's in! Well, that's for the quota might have got the final... Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/bevos1dM/im/2/IM_8.png,yes,random_pair,"You are watching a football match. With the Roma corner headed out by Babacar. Clivert has run it back here. Clivert, Mkhitaryan, clipped in dangerously and into the back of the net from Edin Dzeko. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/E5X6KOII/im/2/IM_4.png,no,random_pair,paired_with:E5X6KOII__2__IM_4
hK46TwNp,1,IM_12,GOAL,important,0.847231,"And that second one, brilliant from Lacazette. It really is. Good pass for Chongen there with that one as well. Wonderful strike to Finlay.",and that second one brilliant from Lacazette it really is goes past for Chongan there with that one as well wonderful strike,"You are watching a football match. And that second one, brilliant from Lacazette. It really is. Good pass for Chongen there with that one as well. Wonderful strike to Finlay. Is this a goal? Answer yes or no.",reproducing_code/vlm-circuits-analysis/data/goal/composites/hK46TwNp/im/1/IM_12.png,yes,random_pair,You are watching a football match. Pjanic with it. Goalkeeper stays back. Goalkeeper stays back. And Ronaldo heads in. Juve's savior. 13 minutes to go. A man down. And there's... Is this a goal? Answer yes or no.,reproducing_code/vlm-circuits-analysis/data/goal/composites/p2XBlEqT/im/2/IM_9.png,no,random_pair,paired_with:p2XBlEqT__2__IM_9
