row_index,clip_id,group_idx,clip_name,target,prediction_constrained_yes_no,constrained_correct,unrestricted_token_id,yes_logit,no_logit,prompt_token_length
0,0jJj5Mme,1,IM_15,yes,yes,True,9454,15.49827766418457,13.214982032775879,
1,nsbnKlSp,2,IM_7,yes,yes,True,9454,16.01598358154297,13.789206504821777,
2,AmNbkU2m,2,IM_4,yes,yes,True,9454,15.102693557739258,13.524885177612305,
3,reYzH7wg,1,IM_7,yes,no,False,2753,12.70225715637207,15.071139335632324,
4,OziK3ff0,1,IM_10,yes,yes,True,9454,13.791484832763672,12.822504043579102,
5,xx6GTsEM,2,IM_1,yes,yes,True,9454,14.704044342041016,11.751753807067871,
6,xx6GTsEM,2,IM_9,yes,yes,True,9454,13.454108238220215,13.19174575805664,
7,UBdITpNb,1,IM_7,yes,no,False,2753,13.790901184082031,14.259247779846191,
8,bZhxz4I5,2,IM_3,yes,yes,True,9454,14.926962852478027,12.589818954467773,
9,bBW7eQ6s,1,IM_2,yes,yes,True,9454,17.249120712280273,14.014535903930664,
10,bevos1dM,2,IM_8,yes,yes,True,9454,15.435575485229492,14.267681121826172,
11,hK46TwNp,1,IM_12,yes,yes,True,9454,14.57003402709961,14.255511283874512,
12,ABcIbvu8,1,IM_4,yes,yes,True,2753,13.227688789367676,12.91317367553711,
13,63fde7Re,1,IM_2,yes,yes,True,9454,15.6141996383667,13.296001434326172,
14,G6wyC3XE,1,IM_7,yes,yes,True,9454,13.889180183410645,12.06854248046875,
15,GEF9XGeE,1,IM_4,yes,yes,True,9454,15.493574142456055,13.524506568908691,
16,fN94DUin,2,IM_11,yes,yes,True,9454,13.513604164123535,12.471978187561035,
17,63fde7Re,1,IM_6,yes,no,False,2753,13.45182991027832,13.77546501159668,
18,4rxwHJn7,2,IM_14,yes,yes,True,2753,13.992859840393066,13.878822326660156,
19,Yo4Xirtq,1,IM_6,yes,no,False,2753,13.607002258300781,13.635462760925293,
20,reYzH7wg,1,IM_10,yes,no,False,2753,12.766294479370117,13.274064064025879,
21,0jJj5Mme,2,IM_16,yes,yes,True,9454,15.016693115234375,13.127033233642578,
22,l0uNkr78,2,IM_4,yes,yes,True,9454,13.737323760986328,12.451119422912598,
23,ChTFpiaS,1,IM_1,yes,yes,True,9454,14.318025588989258,13.690924644470215,
24,0jJj5Mme,1,IM_10,yes,yes,True,9454,15.803524017333984,14.29356575012207,
25,UcZVYDFH,2,IM_5,yes,yes,True,2753,13.02396011352539,12.972546577453613,
26,Yo4Xirtq,2,IM_5,yes,yes,True,9454,14.009339332580566,13.496460914611816,
27,6ZIJp6HI,2,IM_2,yes,yes,True,9454,14.30480670928955,13.916557312011719,
28,OziK3ff0,1,IM_1,yes,yes,True,9454,15.694828987121582,13.119563102722168,
29,pU7DyBbB,1,IM_3,yes,yes,True,9454,15.439947128295898,13.477202415466309,
30,xx6GTsEM,2,IM_13,yes,yes,True,9454,13.656821250915527,13.361922264099121,
31,nsbnKlSp,1,IM_2,yes,yes,True,9454,14.861631393432617,12.90457820892334,
32,ChTFpiaS,2,IM_11,yes,yes,True,2753,12.854860305786133,12.493976593017578,
33,bBW7eQ6s,1,IM_4,yes,yes,True,9454,15.617518424987793,13.364921569824219,
34,r9gYBR53,1,IM_2,yes,yes,True,9454,16.01477813720703,13.095730781555176,
35,ABcIbvu8,1,IM_1,yes,yes,True,9454,13.574257850646973,12.831008911132812,
36,IwW928Oa,2,IM_15,yes,yes,True,9454,14.537006378173828,13.627958297729492,
37,Ov5idmCk,1,IM_5,yes,yes,True,9454,14.85860538482666,13.353248596191406,
38,KIMzryr9,2,IM_8,yes,yes,True,9454,14.596739768981934,12.780410766601562,
39,4rxwHJn7,2,IM_9,yes,no,False,2753,14.978368759155273,15.323643684387207,
40,ABcIbvu8,2,IM_9,yes,yes,True,9454,15.376227378845215,12.586050987243652,
41,0jJj5Mme,1,IM_9,yes,no,False,2753,13.507747650146484,13.526362419128418,
42,ABcIbvu8,2,IM_7,yes,yes,True,9454,15.212666511535645,13.633659362792969,
43,xx6GTsEM,1,IM_6,yes,no,False,2753,12.902815818786621,13.309818267822266,
44,r9gYBR53,1,IM_10,yes,yes,True,9454,13.917903900146484,12.079619407653809,
45,lCaoR3AE,2,IM_13,yes,yes,True,9454,13.504684448242188,12.705384254455566,
46,86u5kz2f,2,IM_11,yes,no,False,2753,15.129305839538574,15.719291687011719,
47,xx6GTsEM,1,IM_2,yes,yes,True,9454,14.038763046264648,13.733684539794922,
48,0jJj5Mme,1,IM_1,yes,yes,True,9454,13.663665771484375,13.334675788879395,
49,G6wyC3XE,1,IM_5,yes,no,False,2753,14.663862228393555,17.134916305541992,
50,Q3ZH0ngC,2,IM_6,no,no,True,2753,12.283111572265625,14.118255615234375,
51,E5X6KOII,2,IM_4,no,yes,False,9454,15.515707015991211,13.814702987670898,
52,ULTDmEW6,2,IM_6,no,no,True,2753,12.613381385803223,14.035015106201172,
53,G6wyC3XE,2,IM_1,no,no,True,2753,13.873534202575684,14.527050018310547,
54,bks0kqIh,2,IM_1,no,no,True,2753,13.039900779724121,13.88362979888916,
55,tE2Jn2J8,2,IM_1,no,no,True,2753,12.653386116027832,14.41610336303711,
56,UcZVYDFH,1,IM_9,no,no,True,2753,13.707741737365723,15.431411743164062,
57,6LXKpLWN,2,IM_1,no,no,True,2753,13.538614273071289,14.624536514282227,
58,8rg3jFcJ,2,IM_3,no,no,True,2753,15.035911560058594,15.681293487548828,
59,IF9NUtVr,1,IM_4,no,no,True,2753,12.847123146057129,14.214996337890625,
60,l0uNkr78,2,IM_10,no,no,True,2753,12.529233932495117,14.372477531433105,
61,0rkvoaKm,2,IM_16,no,no,True,2753,12.864622116088867,13.684103012084961,
62,06FNvY2s,2,IM_6,no,no,True,2753,14.087965965270996,16.06552505493164,
63,xpER1kZQ,1,IM_5,no,no,True,2753,13.424345970153809,13.601784706115723,
64,6w99xiq5,2,IM_3,no,no,True,2753,12.905661582946777,13.870030403137207,
65,6w99xiq5,1,IM_2,no,no,True,2753,14.186279296875,15.913025856018066,
66,nsbnKlSp,2,IM_3,no,yes,False,9454,13.735869407653809,12.594525337219238,
67,p2XBlEqT,2,IM_9,no,yes,False,9454,14.591045379638672,13.361883163452148,
68,Q3ZH0ngC,2,IM_7,no,no,True,2753,12.746932983398438,13.633490562438965,
69,4rxwHJn7,1,IM_4,no,no,True,2753,12.927225112915039,13.926681518554688,
70,pOf6Wnwt,2,IM_10,no,yes,False,2753,14.332798957824707,14.161493301391602,
71,vXz1jGnl,2,IM_3,no,no,True,2753,13.285628318786621,13.710274696350098,
72,xlO2e2Ra,2,IM_6,no,no,True,2753,13.29294204711914,13.323307037353516,
73,06FNvY2s,2,IM_1,no,no,True,2753,13.884864807128906,14.469626426696777,
74,r9gYBR53,2,IM_4,no,no,True,2753,13.135485649108887,14.050052642822266,
75,xx6GTsEM,1,IM_1,no,no,True,2753,12.585241317749023,12.714698791503906,
76,pl6mcTdq,1,IM_2,no,no,True,2753,13.104241371154785,13.613327980041504,
77,OtQpc975,1,IM_3,no,no,True,2753,13.877010345458984,13.910348892211914,
78,ChTFpiaS,2,IM_7,no,no,True,2753,13.628538131713867,13.992437362670898,
79,x2i73QnS,2,IM_5,no,no,True,2753,13.687363624572754,13.919262886047363,
80,UcZVYDFH,1,IM_15,no,no,True,2753,13.147257804870605,14.518568992614746,
81,UBdITpNb,2,IM_6,no,no,True,2753,13.321453094482422,13.494462013244629,
82,G6wyC3XE,2,IM_4,no,no,True,2753,12.355521202087402,12.855491638183594,
83,ABcIbvu8,2,IM_1,no,no,True,2753,12.931183815002441,14.030634880065918,
84,x2i73QnS,2,IM_4,no,no,True,2753,15.247186660766602,16.176227569580078,
85,vXz1jGnl,2,IM_2,no,no,True,2753,13.80749797821045,15.166565895080566,
86,OtQpc975,2,IM_9,no,no,True,2753,14.684649467468262,17.976402282714844,
87,OtQpc975,1,IM_6,no,no,True,2753,13.405823707580566,14.861868858337402,
88,8S0QVm38,1,IM_2,no,no,True,2753,13.435935020446777,14.480280876159668,
89,OtQpc975,1,IM_2,no,no,True,2753,13.921772003173828,16.636089324951172,
90,4rxwHJn7,2,IM_1,no,yes,False,2753,13.325864791870117,13.183666229248047,
91,4rxwHJn7,2,IM_2,no,no,True,2753,14.239004135131836,17.13433837890625,
92,G6wyC3XE,1,IM_3,no,no,True,2753,13.937275886535645,14.075889587402344,
93,8S0QVm38,2,IM_2,no,yes,False,2753,13.609212875366211,13.473248481750488,
94,UBdITpNb,2,IM_5,no,no,True,2753,13.080641746520996,14.102082252502441,
95,Yo4Xirtq,2,IM_3,no,no,True,2753,13.295275688171387,13.456060409545898,
96,rs1thcel,1,IM_7,no,no,True,2753,12.57745361328125,13.821380615234375,
97,OW4kbPoI,1,IM_3,no,yes,False,2753,14.00955867767334,13.674148559570312,
98,G6wyC3XE,2,IM_5,no,no,True,2753,13.16662883758545,13.803704261779785,
99,8S0QVm38,1,IM_6,no,no,True,2753,14.252411842346191,16.077980041503906,
100,reYzH7wg,1,IM_2,no,no,True,2753,13.337809562683105,15.171669960021973,
101,OW4kbPoI,2,IM_3,no,no,True,2753,12.873948097229004,13.895909309387207,
102,bZhxz4I5,1,IM_3,no,no,True,2753,12.756784439086914,14.290579795837402,
103,G6wyC3XE,2,NIM_2,no,yes,False,2753,13.90243911743164,13.689264297485352,
104,0jJj5Mme,2,NIM_9,no,no,True,2753,13.673653602600098,14.033780097961426,
105,W0KvTtjG,1,NIM_7,no,no,True,2753,12.578414916992188,12.942243576049805,
106,xpER1kZQ,2,NIM_10,no,no,True,2753,14.858546257019043,16.510107040405273,
107,EPk1kLq4,2,NIM_1,no,no,True,2753,14.211543083190918,15.055044174194336,
108,rs1thcel,2,NIM_4,no,no,True,2753,13.362935066223145,14.961857795715332,
109,vVcWSKae,2,NIM_4,no,no,True,2753,14.249786376953125,14.660404205322266,
110,KMdvNjmo,1,NIM_5,no,yes,False,2753,13.343647003173828,13.195068359375,
111,OtQpc975,1,NIM_7,no,no,True,2753,12.790337562561035,12.961583137512207,
112,KMdvNjmo,1,NIM_6,no,no,True,2753,12.954155921936035,13.641016960144043,
113,6uUbMpl6,2,NIM_2,no,no,True,2753,13.861126899719238,15.03076171875,
114,OtQpc975,1,NIM_6,no,yes,False,2753,14.147082328796387,14.032984733581543,
115,tE2Jn2J8,2,NIM_14,no,no,True,2753,13.410198211669922,15.6056489944458,
116,ULTDmEW6,2,NIM_1,no,no,True,2753,13.403480529785156,14.602411270141602,
117,pOf6Wnwt,2,NIM_13,no,no,True,2753,12.982449531555176,13.237306594848633,
118,Yo4Xirtq,2,NIM_9,no,no,True,2753,13.312228202819824,14.689910888671875,
119,06FNvY2s,2,NIM_8,no,no,True,2753,12.621146202087402,13.320767402648926,
120,pU7DyBbB,2,NIM_9,no,no,True,2753,12.276298522949219,13.835806846618652,
121,bBW7eQ6s,2,NIM_2,no,no,True,2753,12.486762046813965,14.931171417236328,
122,W0KvTtjG,1,NIM_6,no,no,True,2753,14.887409210205078,15.453725814819336,
123,OtQpc975,2,NIM_1,no,no,True,2753,13.454022407531738,15.859457969665527,
124,r9gYBR53,2,NIM_9,no,no,True,2753,12.586241722106934,14.16116714477539,
125,G6wyC3XE,1,NIM_1,no,no,True,2753,13.783204078674316,14.303071022033691,
126,Q3ZH0ngC,1,NIM_4,no,no,True,2753,11.884265899658203,13.022627830505371,
127,06FNvY2s,2,NIM_2,no,no,True,2753,12.272908210754395,14.688283920288086,
128,8S0QVm38,1,NIM_3,no,no,True,2753,13.639179229736328,15.289942741394043,
129,nwl9maEG,1,NIM_4,no,no,True,2753,12.964362144470215,14.790576934814453,
130,viZQQvS2,1,NIM_9,no,no,True,2753,14.554017066955566,15.813565254211426,
131,IcCSkl6F,1,NIM_1,no,no,True,2753,14.193198204040527,15.330269813537598,
132,8S0QVm38,2,NIM_5,no,no,True,2753,13.603437423706055,14.110491752624512,
133,63fde7Re,2,NIM_2,no,no,True,2753,13.669352531433105,15.675302505493164,
134,ChTFpiaS,1,NIM_2,no,no,True,2753,14.034218788146973,15.962432861328125,
135,x2i73QnS,1,NIM_2,no,no,True,2753,14.704551696777344,16.87142562866211,
136,ObsVrY4o,2,NIM_2,no,no,True,2753,13.435600280761719,15.449382781982422,
137,MV4UU7IE,2,NIM_5,no,no,True,2753,12.715408325195312,13.88850212097168,
138,W0KvTtjG,1,NIM_3,no,no,True,2753,12.398604393005371,13.678704261779785,
139,xpER1kZQ,1,NIM_5,no,no,True,2753,13.672150611877441,14.266732215881348,
140,reYzH7wg,2,NIM_5,no,no,True,2753,13.566762924194336,14.219898223876953,
141,OziK3ff0,1,NIM_11,no,no,True,2753,13.512983322143555,14.051741600036621,
142,bevos1dM,1,NIM_6,no,no,True,2753,12.374055862426758,14.047258377075195,
143,63fde7Re,1,NIM_3,no,no,True,2753,12.2406587600708,15.477574348449707,
144,rs1thcel,2,NIM_7,no,no,True,2753,13.101070404052734,13.649886131286621,
145,EPk1kLq4,1,NIM_5,no,no,True,2753,13.94032096862793,15.859071731567383,
